prompt_index,language,seed,token_count,corrected_exact,uncorrected_exact,correction_rate,legacy_record_ratio,sentence_complete
0,en,0,72,1,0,0.05555555555555555,0.07407407407407407,1
0,en,1,74,1,1,0.0,0.0,1
0,en,2,76,1,0,0.013157894736842105,0.017543859649122806,1
1,en,0,66,1,0,0.015151515151515152,0.020202020202020204,1
1,en,1,77,1,1,0.0,0.0,1
1,en,2,79,1,0,0.02531645569620253,0.03375527426160337,1
2,en,0,82,1,0,0.012195121951219513,0.016260162601626018,1
2,en,1,74,1,0,0.013513513513513514,0.018018018018018018,1
2,en,2,74,1,0,0.02702702702702703,0.036036036036036036,1
3,en,0,72,1,0,0.013888888888888888,0.018518518518518517,1
3,en,1,83,1,0,0.03614457831325301,0.04819277108433735,1
3,en,2,85,1,1,0.0,0.0,1
4,en,0,66,1,1,0.0,0.0,1
4,en,1,74,1,0,0.013513513513513514,0.018018018018018018,1
4,en,2,70,1,0,0.014285714285714285,0.01904761904761905,1
5,en,0,69,1,0,0.043478260869565216,0.057971014492753624,1
5,en,1,66,1,0,0.045454545454545456,0.06060606060606061,1
5,en,2,66,1,0,0.015151515151515152,0.020202020202020204,1
6,en,0,84,1,1,0.0,0.0,1
6,en,1,82,1,0,0.04878048780487805,0.06504065040650407,1
6,en,2,96,1,0,0.03125,0.041666666666666664,0
7,en,0,93,1,0,0.010752688172043012,0.014336917562724014,1
7,en,1,79,1,0,0.0379746835443038,0.05063291139240506,1
7,en,2,68,1,0,0.014705882352941176,0.0196078431372549,1
8,en,0,78,1,0,0.038461538461538464,0.05128205128205128,1
8,en,1,66,1,0,0.015151515151515152,0.020202020202020204,1
8,en,2,71,1,0,0.014084507042253521,0.018779342723004695,1
9,en,0,75,1,1,0.0,0.0,1
9,en,1,74,1,0,0.013513513513513514,0.018018018018018018,1
9,en,2,83,1,0,0.012048192771084338,0.01606425702811245,1
10,zh,0,70,1,0,0.014285714285714285,0.01904761904761905,1
10,zh,1,76,1,0,0.039473684210526314,0.05263157894736842,1
10,zh,2,69,1,0,0.043478260869565216,0.057971014492753624,1
11,zh,0,64,1,0,0.03125,0.041666666666666664,1
11,zh,1,77,1,0,0.012987012987012988,0.017316017316017316,1
11,zh,2,70,1,1,0.0,0.0,1
12,zh,0,68,1,0,0.014705882352941176,0.0196078431372549,1
12,zh,1,87,1,0,0.022988505747126436,0.03065134099616858,1
12,zh,2,68,1,0,0.014705882352941176,0.0196078431372549,1
13,zh,0,82,1,1,0.0,0.0,1
13,zh,1,65,1,0,0.046153846153846156,0.06153846153846154,1
13,zh,2,74,1,0,0.02702702702702703,0.036036036036036036,1
14,zh,0,84,1,0,0.023809523809523808,0.031746031746031744,1
14,zh,1,68,1,0,0.029411764705882353,0.0392156862745098,1
14,zh,2,86,1,0,0.03488372093023256,0.046511627906976744,1
15,zh,0,65,1,0,0.06153846153846154,0.08205128205128205,1
15,zh,1,64,1,0,0.03125,0.041666666666666664,1
15,zh,2,65,1,0,0.015384615384615385,0.020512820512820513,1
16,zh,0,80,1,0,0.05,0.06666666666666667,1
16,zh,1,66,1,0,0.015151515151515152,0.020202020202020204,1
16,zh,2,72,1,0,0.013888888888888888,0.018518518518518517,1
17,zh,0,71,1,1,0.0,0.0,1
17,zh,1,78,1,0,0.05128205128205128,0.06837606837606838,1
17,zh,2,75,1,0,0.02666666666666667,0.035555555555555556,1
18,zh,0,67,1,0,0.014925373134328358,0.01990049751243781,1
18,zh,1,68,1,0,0.029411764705882353,0.0392156862745098,1
18,zh,2,67,1,0,0.029850746268656716,0.03980099502487562,1
19,zh,0,92,1,0,0.010869565217391304,0.014492753623188406,1
19,zh,1,96,1,0,0.010416666666666666,0.013888888888888888,0
19,zh,2,92,1,1,0.0,0.0,1
