prompt_index,language,seeds,corrected_exact,uncorrected_exact,sentence_complete,mean_correction_rate,max_correction_rate,mean_token_count,max_reference_rank
0,en,3,3,1,3,0.02290448343079922,0.05555555555555555,74,2
1,en,3,3,1,3,0.013489323615905895,0.02531645569620253,74,2
2,en,3,3,0,3,0.01757855416392002,0.02702702702702703,76.66666666666667,2
3,en,3,3,1,3,0.016677822400713967,0.03614457831325301,80,2
4,en,3,3,1,3,0.009266409266409266,0.014285714285714285,70,2
5,en,3,3,0,3,0.03469477382520861,0.045454545454545456,67,3
6,en,3,3,1,2,0.026676829268292682,0.04878048780487805,87.33333333333333,1
7,en,3,3,0,3,0.021144418023095995,0.0379746835443038,80,2
8,en,3,3,0,3,0.022565853551769044,0.038461538461538464,71.66666666666667,2
9,en,3,3,1,3,0.008520568761532617,0.013513513513513514,77.33333333333333,2
10,zh,3,3,0,3,0.03241255312193527,0.043478260869565216,71.66666666666667,2
11,zh,3,3,1,3,0.014745670995670996,0.03125,70.33333333333333,2
12,zh,3,3,0,3,0.017466756817669595,0.022988505747126436,74.33333333333333,3
13,zh,3,3,1,3,0.024393624393624396,0.046153846153846156,73.66666666666667,1
14,zh,3,3,0,3,0.029368336481879573,0.03488372093023256,79.33333333333333,2
15,zh,3,3,0,3,0.03605769230769231,0.06153846153846154,64.66666666666667,2
16,zh,3,3,0,3,0.026346801346801348,0.05,72.66666666666667,6
17,zh,3,3,1,3,0.025982905982905983,0.05128205128205128,74.66666666666667,2
18,zh,3,3,0,3,0.02472929470295581,0.029850746268656716,67.33333333333333,2
19,zh,3,3,1,2,0.007095410628019323,0.010869565217391304,93.33333333333333,1
